Accession	Log_likelihood	GC	Sc	St
Mycoplasma_pneumoniae_DNA_BAV20613.1	-965.8	-0.3492	-0.1064	0.1985
Mycoplasma_pneumoniae_DNA_BAV20517.1	-705.1	-0.3492	0.0093	-0.1689
Mycoplasma_pneumoniae_DNA_BAV20700.1	-535.9	-0.3492	0.036	-0.527
Mycoplasma_pneumoniae_DNA_BAV20929.1	-346.2	-0.3492	-0.1787	0.6751
Mycoplasma_pneumoniae_DNA_BAV20842.1	-377.6	-0.3492	-0.012	-0.2391
Mycoplasma_pneumoniae_DNA_BAV20925.1	-220.6	-0.3492	0.0136	-0.4888
Mycoplasma_pneumoniae_DNA_BAV20509.1	-391.7	-0.3492	-0.1766	-0.3458
Mycoplasma_pneumoniae_DNA_BAV20836.1	-273.4	-0.3492	-0.1183	-0.1537
Mycoplasma_pneumoniae_DNA_BAV20840.1	-166.9	-0.3492	-0.1225	-0.2412
Mycoplasma_pneumoniae_DNA_BAV20513.1	-114.7	-0.3492	-0.3084	-0.0304
Mycoplasma_pneumoniae_DNA_BAV20828.1	-454.4	-0.3492	-0.1151	-0.0277
Mycoplasma_pneumoniae_DNA_BAV20834.1	-126.4	-0.3492	-0.0711	-0.0982
Mycoplasma_pneumoniae_DNA_BAV20501.1	-147.5	-0.3492	-0.1705	0.5239
Mycoplasma_pneumoniae_DNA_BAV20495.1	-133.0	-0.3492	-0.1288	-0.382
Mycoplasma_pneumoniae_DNA_BAV20844.1	-125.9	-0.3492	-0.1038	-0.0293
Mycoplasma_pneumoniae_DNA_BAV20244.1	-181.3	-0.3492	-0.2039	0.3106
Mycoplasma_pneumoniae_DNA_BAV20730.1	-242.6	-0.3492	-0.0442	-0.4349
Mycoplasma_pneumoniae_DNA_BAV20497.1	-102.8	-0.3492	-0.053	0.3182
Mycoplasma_pneumoniae_DNA_BAV20830.1	-136.6	-0.3492	-0.2716	-0.0317
Mycoplasma_pneumoniae_DNA_BAV20246.1	-303.2	-0.3492	-0.1553	0.2193
Mycoplasma_pneumoniae_DNA_BAV20732.1	-101.9	-0.3492	-0.0795	0.1311
Mycoplasma_pneumoniae_DNA_BAV20522.1	-215.5	-0.3492	-0.1164	0.3638
Mycoplasma_pneumoniae_DNA_BAV20883.1	-462.5	-0.3492	-0.0845	0.117
Mycoplasma_pneumoniae_DNA_BAV20623.1	-130.8	-0.3492	-0.0765	-0.1793
Mycoplasma_pneumoniae_DNA_BAV20284.1	-630.6	-0.3492	-0.174	0.1674
Mycoplasma_pneumoniae_DNA_BAV20493.1	-160.1	-0.3492	-0.2219	0.2324
Mycoplasma_pneumoniae_DNA_BAV20905.1	-404.5	-0.3492	-0.2289	0.3485
Mycoplasma_pneumoniae_DNA_BAV20552.1	-173.7	-0.3492	-0.1101	-0.3481
Mycoplasma_pneumoniae_DNA_BAV20286.1	-331.8	-0.3492	-0.0388	-0.0948
Mycoplasma_pneumoniae_DNA_BAV20503.1	-97.8	-0.3492	-0.241	0.0277
Mycoplasma_pneumoniae_DNA_BAV20846.1	-165.8	-0.3492	-0.1387	0.0319
Mycoplasma_pneumoniae_DNA_BAV20633.1	-227.2	-0.3492	-0.2266	0.556
Mycoplasma_pneumoniae_DNA_BAV20627.1	-367.6	-0.3492	-0.2384	0.4171
Mycoplasma_pneumoniae_DNA_BAV20792.1	-599.4	-0.3492	-0.1263	0.0879
Mycoplasma_pneumoniae_DNA_BAV20282.1	-319.7	-0.3492	-0.1401	0.1239
Mycoplasma_pneumoniae_DNA_BAV20511.1	-129.0	-0.3492	-0.0946	0.0452
Mycoplasma_pneumoniae_DNA_BAV20878.1	-155.5	-0.3492	-0.294	0.511
Mycoplasma_pneumoniae_DNA_BAV20533.1	-364.4	-0.3492	-0.0867	-0.3733
Mycoplasma_pneumoniae_DNA_BAV20939.1	-2135.6	-0.3492	-0.1335	-0.0296
Mycoplasma_pneumoniae_DNA_BAV20250.1	-492.0	-0.3492	-0.1499	-0.429
Mycoplasma_pneumoniae_DNA_BAV20519.1	-794.4	-0.3492	-0.2433	0.1896
Mycoplasma_pneumoniae_DNA_BAV20870.1	-150.2	-0.3492	-0.2667	0.1427
Mycoplasma_pneumoniae_DNA_BAV20483.1	-239.1	-0.3492	-0.0202	-0.1639
Mycoplasma_pneumoniae_DNA_BAV20558.1	-110.4	-0.3492	-0.3288	-0.0364
Mycoplasma_pneumoniae_DNA_BAV20531.1	-545.7	-0.3492	-0.1076	0.3129
Mycoplasma_pneumoniae_DNA_BAV20712.1	-517.5	-0.3492	-0.0732	-0.1721
Mycoplasma_pneumoniae_DNA_BAV20858.1	-155.9	-0.3492	-0.1661	0.2251
Mycoplasma_pneumoniae_DNA_BAV20769.1	-311.3	-0.3492	-0.1635	0.1652
Mycoplasma_pneumoniae_DNA_BAV20485.1	-623.2	-0.3492	-0.1675	0.1843
Mycoplasma_pneumoniae_DNA_BAV20526.1	-239.9	-0.3492	-0.0445	-0.1578
Mycoplasma_pneumoniae_DNA_BAV20619.1	-854.0	-0.3492	-0.1523	-0.0458
Mycoplasma_pneumoniae_DNA_BAV20535.1	-265.9	-0.3492	-0.0461	-0.0984
Mycoplasma_pneumoniae_DNA_BAV20280.1	-443.5	-0.3492	-0.0301	-0.1139
Mycoplasma_pneumoniae_DNA_BAV20550.1	-579.6	-0.3492	-0.1325	-0.1478
Mycoplasma_pneumoniae_DNA_BAV20242.1	-285.5	-0.3492	-0.1085	0.2375
Mycoplasma_pneumoniae_DNA_BAV20279.1	-201.0	-0.3492	-0.0136	-0.0231
Mycoplasma_pneumoniae_DNA_BAV20481.1	-183.3	-0.3492	-0.1454	-0.0616
Mycoplasma_pneumoniae_DNA_BAV20909.1	-198.8	-0.3492	-0.1795	0.1206
Mycoplasma_pneumoniae_DNA_BAV20262.1	-335.9	-0.3492	-0.0368	-0.2226
Mycoplasma_pneumoniae_DNA_BAV20716.1	-219.0	-0.3492	-0.1666	0.5163
Mycoplasma_pneumoniae_DNA_BAV20901.1	-315.9	-0.3492	-0.144	-0.3829
Mycoplasma_pneumoniae_DNA_BAV20570.1	-257.8	-0.3492	0.0364	0.136
Mycoplasma_pneumoniae_DNA_BAV20260.1	-104.0	-0.3492	-0.2394	-0.2302
Mycoplasma_pneumoniae_DNA_BAV20714.1	-238.7	-0.3492	0.0856	-0.3569
Mycoplasma_pneumoniae_DNA_BAV20487.1	-365.9	-0.3492	-0.0669	-0.2418
Mycoplasma_pneumoniae_DNA_BAV20248.1	-476.1	-0.3492	-0.0344	-0.5441
Mycoplasma_pneumoniae_DNA_BAV20551.1	-355.6	-0.3492	-0.08	-0.0966
Mycoplasma_pneumoniae_DNA_BAV20649.1	-248.8	-0.3492	-0.0852	-0.4987
Mycoplasma_pneumoniae_DNA_BAV20603.1	-453.3	-0.3492	0.0871	-0.429
Mycoplasma_pneumoniae_DNA_BAV20574.1	-365.5	-0.3492	-0.2824	0.2174
Mycoplasma_pneumoniae_DNA_BAV20554.1	-168.6	-0.3492	-0.1341	0.0308
Mycoplasma_pneumoniae_DNA_BAV20277.1	-144.7	-0.3492	-0.1591	0.0026
Mycoplasma_pneumoniae_DNA_BAV20230.1	-320.9	-0.3492	-0.1346	0.0309
Mycoplasma_pneumoniae_DNA_BAV20637.1	-535.4	-0.3492	0.0241	-0.277
Mycoplasma_pneumoniae_DNA_BAV20854.1	-123.4	-0.3492	-0.2021	-0.0938
Mycoplasma_pneumoniae_DNA_BAV20556.1	-99.3	-0.3492	-0.2608	0.9586
Mycoplasma_pneumoniae_DNA_BAV20722.1	-373.5	-0.3492	0.0541	-0.8046
Mycoplasma_pneumoniae_DNA_BAV20524.1	-205.6	-0.3492	-0.1644	-0.3645
Mycoplasma_pneumoniae_DNA_BAV20537.1	-287.5	-0.3492	-0.165	-0.1829
Mycoplasma_pneumoniae_DNA_BAV20679.1	-135.3	-0.3492	-0.0889	-0.173
Mycoplasma_pneumoniae_DNA_BAV20852.1	-192.2	-0.3492	-0.1093	0.2495
Mycoplasma_pneumoniae_DNA_BAV20887.1	-176.1	-0.3492	-0.1847	0.2365
Mycoplasma_pneumoniae_DNA_BAV20256.1	-691.2	-0.3492	-0.17	-0.0784
Mycoplasma_pneumoniae_DNA_BAV20720.1	-350.9	-0.3492	-0.085	0.198
Mycoplasma_pneumoniae_DNA_BAV20607.1	-225.7	-0.3492	-0.1038	0.2395
Mycoplasma_pneumoniae_DNA_BAV20388.1	-126.0	-0.3492	-0.1615	0.4248
Mycoplasma_pneumoniae_DNA_BAV20576.1	-367.3	-0.3492	-0.0279	-0.0343
Mycoplasma_pneumoniae_DNA_BAV20254.1	-537.8	-0.3492	-0.1297	0.1768
Mycoplasma_pneumoniae_DNA_BAV20520.1	-216.4	-0.3492	-0.024	-0.3038
Mycoplasma_pneumoniae_DNA_BAV20778.1	-76.4	-0.3492	-0.2338	0.1648
Mycoplasma_pneumoniae_DNA_BAV20539.1	-647.6	-0.3492	-0.1057	-0.0044
Mycoplasma_pneumoniae_DNA_BAV20738.1	-211.9	-0.3492	0.0405	-0.4528
Mycoplasma_pneumoniae_DNA_BAV20856.1	-185.7	-0.3492	0.0126	-0.1763
Mycoplasma_pneumoniae_DNA_BAV20598.1	-532.0	-0.3492	0.0592	-0.4446
Mycoplasma_pneumoniae_DNA_BAV20548.1	-393.8	-0.3492	-0.1627	0.041
Mycoplasma_pneumoniae_DNA_BAV20387.1	-128.4	-0.3492	-0.1705	0.0392
Mycoplasma_pneumoniae_DNA_BAV20489.1	-517.2	-0.3492	-0.0254	-0.1198
Mycoplasma_pneumoniae_DNA_BAV20381.1	-444.1	-0.3492	-0.0548	0.2905
Mycoplasma_pneumoniae_DNA_BAV20540.1	-427.7	-0.3492	-0.2044	0.2245
Mycoplasma_pneumoniae_DNA_BAV20927.1	-188.0	-0.3492	-0.2036	0.0465
Mycoplasma_pneumoniae_DNA_BAV20399.1	-144.8	-0.3492	-0.0932	0.3237
Mycoplasma_pneumoniae_DNA_BAV20900.1	-283.2	-0.3492	-0.1915	-0.353
Mycoplasma_pneumoniae_DNA_BAV20296.1	-162.0	-0.3492	-0.0723	0.1242
Mycoplasma_pneumoniae_DNA_BAV20229.1	-290.6	-0.3492	-0.0699	-0.4706
Mycoplasma_pneumoniae_DNA_BAV20850.1	-288.0	-0.3492	-0.118	-0.188
Mycoplasma_pneumoniae_DNA_BAV20275.1	-131.5	-0.3492	-0.1068	0.1954
Mycoplasma_pneumoniae_DNA_BAV20264.1	-510.7	-0.3492	-0.1664	0.289
Mycoplasma_pneumoniae_DNA_BAV20923.1	-451.4	-0.3492	-0.0669	0.0776
Mycoplasma_pneumoniae_DNA_BAV20367.1	-178.2	-0.3492	-0.3055	0.424
Mycoplasma_pneumoniae_DNA_BAV20290.1	-573.8	-0.3492	-0.1321	0.0901
Mycoplasma_pneumoniae_DNA_BAV20601.1	-252.8	-0.3492	-0.1194	-0.2748
Mycoplasma_pneumoniae_DNA_BAV20473.1	-254.9	-0.3492	-0.1677	-0.0782
Mycoplasma_pneumoniae_DNA_BAV20736.1	-178.3	-0.3492	0.1395	0.2195
Mycoplasma_pneumoniae_DNA_BAV20298.1	-322.8	-0.3492	-0.1724	-0.0115
Mycoplasma_pneumoniae_DNA_BAV20365.1	-192.6	-0.3492	-0.0577	-0.2862
Mycoplasma_pneumoniae_DNA_BAV20471.1	-252.1	-0.3492	-0.0777	0.0825
Mycoplasma_pneumoniae_DNA_BAV20385.1	-446.3	-0.3492	-0.0728	0.3183
Mycoplasma_pneumoniae_DNA_BAV20258.1	-85.8	-0.3492	-0.0424	-0.0433
Mycoplasma_pneumoniae_DNA_BAV20383.1	-491.3	-0.3492	-0.044	0.0271
Mycoplasma_pneumoniae_DNA_BAV20561.1	-320.5	-0.3492	-0.0941	-0.3496
Mycoplasma_pneumoniae_DNA_BAV20465.1	-513.3	-0.3492	-0.1222	0.198
Mycoplasma_pneumoniae_DNA_BAV20294.1	-163.9	-0.3492	-0.0516	-0.6361
Mycoplasma_pneumoniae_DNA_BAV20219.1	-295.1	-0.3492	-0.0569	-0.3678
Mycoplasma_pneumoniae_DNA_BAV20482.1	-268.8	-0.3492	-0.2163	0.341
Mycoplasma_pneumoniae_DNA_BAV20677.1	-783.2	-0.3492	-0.0666	-0.1393
Mycoplasma_pneumoniae_DNA_BAV20271.1	-479.5	-0.3492	-0.0168	-0.0426
Mycoplasma_pneumoniae_DNA_BAV20211.1	-131.3	-0.3492	-0.2747	0.1879
Mycoplasma_pneumoniae_DNA_BAV20671.1	-305.3	-0.3492	0.0014	-0.2145
Mycoplasma_pneumoniae_DNA_BAV20397.1	-128.7	-0.3492	-0.0949	0.3144
Mycoplasma_pneumoniae_DNA_BAV20266.1	-422.2	-0.3492	-0.0798	-0.1226
Mycoplasma_pneumoniae_DNA_BAV20669.1	-379.3	-0.3492	0.007	-0.2276
Mycoplasma_pneumoniae_DNA_BAV20933.1	-542.9	-0.3492	-0.1297	0.0722
Mycoplasma_pneumoniae_DNA_BAV20921.1	-312.9	-0.3492	-0.1328	-0.1623
Mycoplasma_pneumoniae_DNA_BAV20273.1	-601.3	-0.3492	-0.043	0.2031
Mycoplasma_pneumoniae_DNA_BAV20292.1	-500.9	-0.3492	-0.1103	0.0251
Mycoplasma_pneumoniae_DNA_BAV20391.1	-263.2	-0.3492	-0.0965	-0.0514
Mycoplasma_pneumoniae_DNA_BAV20461.1	-677.3	-0.3492	-0.1157	-0.0501
Mycoplasma_pneumoniae_DNA_BAV20542.1	-395.5	-0.3492	-0.117	0.2047
Mycoplasma_pneumoniae_DNA_BAV20268.1	-508.7	-0.3492	-0.0687	-0.0288
Mycoplasma_pneumoniae_DNA_BAV20252.1	-669.4	-0.3492	-0.0948	0.1956
Mycoplasma_pneumoniae_DNA_BAV20697.1	-254.6	-0.3492	-0.1683	-0.0758
Mycoplasma_pneumoniae_DNA_BAV20935.1	-450.7	-0.3492	-0.0941	-0.0295
Mycoplasma_pneumoniae_DNA_BAV20375.1	-874.5	-0.3492	-0.1635	0.1347
Mycoplasma_pneumoniae_DNA_BAV20463.1	-553.0	-0.3492	-0.1271	-0.0696
Mycoplasma_pneumoniae_DNA_BAV20393.1	-92.2	-0.3492	-0.2863	0.011
Mycoplasma_pneumoniae_DNA_BAV20621.1	-229.0	-0.3492	-0.3007	0.6304
Mycoplasma_pneumoniae_DNA_BAV20695.1	-133.9	-0.3492	-0.0098	0.6585
Mycoplasma_pneumoniae_DNA_BAV20564.1	-830.0	-0.3492	-0.0773	-0.0271
Mycoplasma_pneumoniae_DNA_BAV20377.1	-592.7	-0.3492	-0.1799	0.4027
Mycoplasma_pneumoniae_DNA_BAV20675.1	-603.9	-0.3492	-0.1187	-0.0137
Mycoplasma_pneumoniae_DNA_BAV20661.1	-130.0	-0.3492	-0.0801	-1.2093
Mycoplasma_pneumoniae_DNA_BAV20673.1	-433.6	-0.3492	-0.135	-0.1037
Mycoplasma_pneumoniae_DNA_BAV20546.1	-339.6	-0.3492	-0.1644	0.0957
Mycoplasma_pneumoniae_DNA_BAV20594.1	-503.8	-0.3492	-0.0179	-0.0137
Mycoplasma_pneumoniae_DNA_BAV20395.1	-310.5	-0.3492	-0.2496	0.619
Mycoplasma_pneumoniae_DNA_BAV20657.1	-991.4	-0.3492	-0.0334	-0.0186
Mycoplasma_pneumoniae_DNA_BAV20931.1	-124.5	-0.3492	-0.2419	0.0553
Mycoplasma_pneumoniae_DNA_BAV20562.1	-464.4	-0.3492	-0.1673	0.197
Mycoplasma_pneumoniae_DNA_BAV20369.1	-497.3	-0.3492	-0.1855	0.0426
Mycoplasma_pneumoniae_DNA_BAV20544.1	-104.2	-0.3492	0.0384	-0.104
Mycoplasma_pneumoniae_DNA_BAV20203.1	-330.3	-0.3492	-0.2457	0.3434
Mycoplasma_pneumoniae_DNA_BAV20655.1	-626.1	-0.3492	-0.0441	-0.2023
Mycoplasma_pneumoniae_DNA_BAV20667.1	-468.2	-0.3492	-0.1308	0.1552
Mycoplasma_pneumoniae_DNA_BAV20373.1	-268.7	-0.3492	0.1403	-0.6629
Mycoplasma_pneumoniae_DNA_BAV20937.1	-56.6	-0.3492	-0.1931	0.0976
Mycoplasma_pneumoniae_DNA_BAV20894.1	-309.5	-0.3492	-0.0691	-0.0614
Mycoplasma_pneumoniae_DNA_BAV20213.1	-234.1	-0.3492	-0.2276	-0.1948
Mycoplasma_pneumoniae_DNA_BAV20361.1	-165.6	-0.3492	-0.121	0.3591
Mycoplasma_pneumoniae_DNA_BAV20235.1	-233.0	-0.3492	-0.1917	0.3521
Mycoplasma_pneumoniae_DNA_BAV20566.1	-814.0	-0.3492	-0.0764	-0.1679
Mycoplasma_pneumoniae_DNA_BAV20651.1	-110.2	-0.3492	0.0232	0.4174
Mycoplasma_pneumoniae_DNA_BAV20685.1	-1063.1	-0.3492	-0.1279	0.6758
Mycoplasma_pneumoniae_DNA_BAV20590.1	-595.4	-0.3492	-0.0493	0.0759
Mycoplasma_pneumoniae_DNA_BAV20659.1	-551.9	-0.3492	-0.1185	-0.1958
Mycoplasma_pneumoniae_DNA_BAV20663.1	-385.7	-0.3492	-0.0287	-0.313
Mycoplasma_pneumoniae_DNA_BAV20237.1	-740.8	-0.3492	-0.0775	0.1197
Mycoplasma_pneumoniae_DNA_BAV20687.1	-508.9	-0.3492	-0.0715	-0.0775
Mycoplasma_pneumoniae_DNA_BAV20592.1	-98.2	-0.3492	-0.1948	0.0445
Mycoplasma_pneumoniae_DNA_BAV20209.1	-491.4	-0.3492	-0.1263	0.0289
Mycoplasma_pneumoniae_DNA_BAV20665.1	-318.4	-0.3492	-0.0283	0.4177
Mycoplasma_pneumoniae_DNA_BAV20238.1	-718.9	-0.3492	-0.1676	0.353
Mycoplasma_pneumoniae_DNA_BAV20443.1	-457.1	-0.3492	-0.056	0.1224
Mycoplasma_pneumoniae_DNA_BAV20233.1	-233.8	-0.3492	-0.0093	-0.0447
Mycoplasma_pneumoniae_DNA_BAV20750.1	-265.0	-0.3492	-0.1529	0.035
Mycoplasma_pneumoniae_DNA_BAV20624.1	-357.5	-0.3492	-0.1217	0.261
Mycoplasma_pneumoniae_DNA_BAV20332.1	-475.1	-0.3492	-0.0809	-0.0855
Mycoplasma_pneumoniae_DNA_BAV20756.1	-1520.1	-0.3492	-0.1073	0.1115
Mycoplasma_pneumoniae_DNA_BAV20363.1	-2040.2	-0.3492	-0.0033	-0.1842
Mycoplasma_pneumoniae_DNA_BAV20683.1	-320.4	-0.3492	-0.0712	0.0733
Mycoplasma_pneumoniae_DNA_BAV20645.1	-808.4	-0.3492	-0.1722	0.1274
Mycoplasma_pneumoniae_DNA_BAV20653.1	-380.8	-0.3492	-0.1531	0.0058
Mycoplasma_pneumoniae_DNA_BAV20215.1	-242.7	-0.3492	-0.2725	0.4333
Mycoplasma_pneumoniae_DNA_BAV20729.1	-327.1	-0.3492	-0.076	0.0302
Mycoplasma_pneumoniae_DNA_BAV20739.1	-110.1	-0.3492	0.0305	-0.0397
Mycoplasma_pneumoniae_DNA_BAV20447.1	-256.2	-0.3492	-0.2393	0.2883
Mycoplasma_pneumoniae_DNA_BAV20758.1	-175.0	-0.3492	-0.1372	0.0076
Mycoplasma_pneumoniae_DNA_BAV20568.1	-650.2	-0.3492	-0.1175	0.0399
Mycoplasma_pneumoniae_DNA_BAV20371.1	-83.6	-0.3492	-0.089	-0.1027
Mycoplasma_pneumoniae_DNA_BAV20643.1	-98.2	-0.3492	-0.2414	0.4492
Mycoplasma_pneumoniae_DNA_BAV20353.1	-274.3	-0.3492	0.1399	0.0488
Mycoplasma_pneumoniae_DNA_BAV20445.1	-955.8	-0.3492	-0.0902	0.0796
Mycoplasma_pneumoniae_DNA_BAV20379.1	-691.3	-0.3492	-0.1362	-0.1017
Mycoplasma_pneumoniae_DNA_BAV20734.1	-159.6	-0.3492	-0.1769	0.0169
Mycoplasma_pneumoniae_DNA_BAV20724.1	-438.0	-0.3492	-0.1869	0.0884
Mycoplasma_pneumoniae_DNA_BAV20223.1	-420.8	-0.3492	-0.1287	-0.3796
Mycoplasma_pneumoniae_DNA_BAV20231.1	-203.4	-0.3492	-0.1423	-0.0839
Mycoplasma_pneumoniae_DNA_BAV20351.1	-127.4	-0.3492	0.0368	0.1461
Mycoplasma_pneumoniae_DNA_BAV20752.1	-167.3	-0.3492	-0.0216	-0.1788
Mycoplasma_pneumoniae_DNA_BAV20754.1	-85.4	-0.3492	0.0187	-0.2536
Mycoplasma_pneumoniae_DNA_BAV20205.1	-986.9	-0.3492	-0.1462	0.0543
Mycoplasma_pneumoniae_DNA_BAV20635.1	-618.3	-0.3492	-0.2492	0.4219
Mycoplasma_pneumoniae_DNA_BAV20616.1	-295.9	-0.3492	-0.2274	0.2002
Mycoplasma_pneumoniae_DNA_BAV20774.1	-136.9	-0.3492	-0.2671	0.5159
Mycoplasma_pneumoniae_DNA_BAV20647.1	-86.6	-0.3492	-0.0023	-0.0819
Mycoplasma_pneumoniae_DNA_BAV20225.1	-546.9	-0.3492	-0.1179	0.0267
Mycoplasma_pneumoniae_DNA_BAV20578.1	-344.7	-0.3492	-0.1379	0.2772
Mycoplasma_pneumoniae_DNA_BAV20207.1	-238.6	-0.3492	0.0152	-0.3204
Mycoplasma_pneumoniae_DNA_BAV20881.1	-554.2	-0.3492	-0.0438	-0.15
Mycoplasma_pneumoniae_DNA_BAV20479.1	-493.3	-0.3492	-0.135	0.031
Mycoplasma_pneumoniae_DNA_BAV20693.1	-354.1	-0.3492	-0.0342	-0.1456
Mycoplasma_pneumoniae_DNA_BAV20355.1	-324.8	-0.3492	-0.2979	0.2139
Mycoplasma_pneumoniae_DNA_BAV20641.1	-215.0	-0.3492	-0.1611	0.358
Mycoplasma_pneumoniae_DNA_BAV20330.1	-150.5	-0.3492	-0.1862	-0.0127
Mycoplasma_pneumoniae_DNA_BAV20312.1	-153.7	-0.3492	-0.229	0.3138
Mycoplasma_pneumoniae_DNA_BAV20221.1	-740.4	-0.3492	-0.0991	-0.1084
Mycoplasma_pneumoniae_DNA_BAV20772.1	-177.5	-0.3492	-0.1038	0.2374
Mycoplasma_pneumoniae_DNA_BAV20681.1	-462.2	-0.3492	-0.1258	0.3486
Mycoplasma_pneumoniae_DNA_BAV20708.1	-55.8	-0.3492	-0.1723	0.9447
Mycoplasma_pneumoniae_DNA_BAV20748.1	-435.1	-0.3492	-0.2196	0.3542
Mycoplasma_pneumoniae_DNA_BAV20475.1	-441.4	-0.3492	-0.0764	0.1133
Mycoplasma_pneumoniae_DNA_BAV20689.1	-432.6	-0.3492	0.0697	-0.4973
Mycoplasma_pneumoniae_DNA_BAV20310.1	-566.6	-0.3492	-0.1742	-0.0796
Mycoplasma_pneumoniae_DNA_BAV20227.1	-314.1	-0.3492	-0.1606	0.3415
Mycoplasma_pneumoniae_DNA_BAV20815.1	-116.1	-0.3492	-0.0294	-0.0775
Mycoplasma_pneumoniae_DNA_BAV20586.1	-492.3	-0.3492	-0.1038	0.0484
Mycoplasma_pneumoniae_DNA_BAV20314.1	-88.7	-0.3492	-0.1035	0.2488
Mycoplasma_pneumoniae_DNA_BAV20349.1	-165.7	-0.3492	-0.175	-0.1355
Mycoplasma_pneumoniae_DNA_BAV20334.1	-218.6	-0.3492	-0.154	0.0353
Mycoplasma_pneumoniae_DNA_BAV20469.1	-82.4	-0.3492	-0.3456	0.687
Mycoplasma_pneumoniae_DNA_BAV20770.1	-251.6	-0.3492	-0.1367	-0.0562
Mycoplasma_pneumoniae_DNA_BAV20336.1	-146.2	-0.3492	-0.2174	0.4465
Mycoplasma_pneumoniae_DNA_BAV20228.1	-407.8	-0.3492	-0.1377	-0.1036
Mycoplasma_pneumoniae_DNA_BAV20582.1	-267.2	-0.3492	-0.1864	0.0966
Mycoplasma_pneumoniae_DNA_BAV20344.1	-651.9	-0.3492	-0.151	-0.1124
Mycoplasma_pneumoniae_DNA_BAV20789.1	-674.0	-0.3492	-0.1367	-0.0858
Mycoplasma_pneumoniae_DNA_BAV20629.1	-518.0	-0.3492	-0.1558	-0.1107
Mycoplasma_pneumoniae_DNA_BAV20357.1	-384.5	-0.3492	-0.1027	-0.1331
Mycoplasma_pneumoniae_DNA_BAV20419.1	-508.9	-0.3492	-0.1059	-0.0686
Mycoplasma_pneumoniae_DNA_BAV20706.1	-278.2	-0.3492	-0.0456	-0.3983
Mycoplasma_pneumoniae_DNA_BAV20839.1	-563.2	-0.3492	-0.1346	0.0309
Mycoplasma_pneumoniae_DNA_BAV20811.1	-170.8	-0.3492	-0.0011	0.0589
Mycoplasma_pneumoniae_DNA_BAV20580.1	-160.6	-0.3492	-0.0584	0.1375
Mycoplasma_pneumoniae_DNA_BAV20467.1	-352.5	-0.3492	-0.1411	-0.236
Mycoplasma_pneumoniae_DNA_BAV20790.1	-289.3	-0.3492	-0.109	0.0429
Mycoplasma_pneumoniae_DNA_BAV20316.1	-530.2	-0.3492	-0.0272	-0.5182
Mycoplasma_pneumoniae_DNA_BAV20813.1	-1064.9	-0.3492	-0.1384	0.4104
Mycoplasma_pneumoniae_DNA_BAV20746.1	-354.3	-0.3492	-0.2834	0.2583
Mycoplasma_pneumoniae_DNA_BAV20340.1	-132.9	-0.3492	-0.0543	-0.2035
Mycoplasma_pneumoniae_DNA_BAV20359.1	-194.3	-0.3492	-0.2073	0.3009
Mycoplasma_pneumoniae_DNA_BAV20831.1	-309.0	-0.3492	-0.1222	-0.1906
Mycoplasma_pneumoniae_DNA_BAV20451.1	-436.8	-0.3492	-0.0761	0.3512
