Accession	%Both_optimised	%Cost_optimised	%tAI_optimised
Mycoplasma_pneumoniae_DNA_BAV20736.1	49.81	37.43	54.06
Mycoplasma_pneumoniae_DNA_BAV20298.1	58.64	56.17	44.95
Mycoplasma_pneumoniae_DNA_BAV20365.1	54.07	50.97	45.29
Mycoplasma_pneumoniae_DNA_BAV20471.1	58.33	50.46	48.49
Mycoplasma_pneumoniae_DNA_BAV20385.1	57.85	48.53	52.68
Mycoplasma_pneumoniae_DNA_BAV20258.1	54.09	48.3	48.66
Mycoplasma_pneumoniae_DNA_BAV20383.1	56.15	48.99	46.84
Mycoplasma_pneumoniae_DNA_BAV20561.1	53.08	52.45	42.41
Mycoplasma_pneumoniae_DNA_BAV20465.1	59.54	51.83	48.83
Mycoplasma_pneumoniae_DNA_BAV20294.1	51.43	52.27	38.25
Mycoplasma_pneumoniae_DNA_BAV20219.1	53.05	51.08	41.68
Mycoplasma_pneumoniae_DNA_BAV20482.1	62.89	56.67	49.3
Mycoplasma_pneumoniae_DNA_BAV20677.1	56.29	51.14	45.33
Mycoplasma_pneumoniae_DNA_BAV20271.1	55.32	47.32	47.34
Mycoplasma_pneumoniae_DNA_BAV20211.1	62.59	59.57	48.28
Mycoplasma_pneumoniae_DNA_BAV20671.1	53.23	46.53	45.94
Mycoplasma_pneumoniae_DNA_BAV20397.1	59.04	47.22	53.23
Mycoplasma_pneumoniae_DNA_BAV20266.1	56.63	51.94	45.34
Mycoplasma_pneumoniae_DNA_BAV20669.1	52.74	46.37	45.15
Mycoplasma_pneumoniae_DNA_BAV20933.1	59.02	52.59	47.54
Mycoplasma_pneumoniae_DNA_BAV20921.1	55.93	53.97	43.4
Mycoplasma_pneumoniae_DNA_BAV20273.1	56.53	47.29	49.74
Mycoplasma_pneumoniae_DNA_BAV20292.1	58.42	53.13	46.28
Mycoplasma_pneumoniae_DNA_BAV20391.1	57.64	50.52	44.43
Mycoplasma_pneumoniae_DNA_BAV20461.1	57.81	53.17	46.21
Mycoplasma_pneumoniae_DNA_BAV20542.1	59.93	51.66	50.29
Mycoplasma_pneumoniae_DNA_BAV20268.1	57.27	49.48	48.27
Mycoplasma_pneumoniae_DNA_BAV20252.1	58.7	50.43	50.11
Mycoplasma_pneumoniae_DNA_BAV20697.1	58.54	55.71	44.33
Mycoplasma_pneumoniae_DNA_BAV20935.1	57.43	51.32	46.33
Mycoplasma_pneumoniae_DNA_BAV20375.1	62.55	56.09	48.16
Mycoplasma_pneumoniae_DNA_BAV20463.1	57.93	53.09	44.96
Mycoplasma_pneumoniae_DNA_BAV20393.1	62.31	62.5	42.28
Mycoplasma_pneumoniae_DNA_BAV20621.1	66.15	58.6	51.28
Mycoplasma_pneumoniae_DNA_BAV20695.1	56.94	43.82	57.76
Mycoplasma_pneumoniae_DNA_BAV20564.1	57.1	51.21	47.07
Mycoplasma_pneumoniae_DNA_BAV20377.1	62.75	53.93	49.84
Mycoplasma_pneumoniae_DNA_BAV20675.1	58.9	53.47	46.52
Mycoplasma_pneumoniae_DNA_BAV20661.1	45.71	55.3	32.78
Mycoplasma_pneumoniae_DNA_BAV20673.1	56.4	54.74	42.7
Mycoplasma_pneumoniae_DNA_BAV20546.1	59.86	54.22	46.86
Mycoplasma_pneumoniae_DNA_BAV20594.1	54.98	46.88	48.01
Mycoplasma_pneumoniae_DNA_BAV20395.1	66.34	56.44	52.33
Mycoplasma_pneumoniae_DNA_BAV20657.1	54.88	48.26	47.72
Mycoplasma_pneumoniae_DNA_BAV20931.1	64.97	60.28	46.16
Mycoplasma_pneumoniae_DNA_BAV20562.1	60.1	54.38	48.06
Mycoplasma_pneumoniae_DNA_BAV20369.1	62.42	57.9	46.04
Mycoplasma_pneumoniae_DNA_BAV20544.1	51.4	45.0	48.23
Mycoplasma_pneumoniae_DNA_BAV20203.1	62.88	57.07	49.25
Mycoplasma_pneumoniae_DNA_BAV20655.1	54.75	49.38	44.5
Mycoplasma_pneumoniae_DNA_BAV20667.1	60.11	52.46	48.44
Mycoplasma_pneumoniae_DNA_BAV20373.1	45.2	41.8	41.06
Mycoplasma_pneumoniae_DNA_BAV20937.1	62.16	54.84	49.67
Mycoplasma_pneumoniae_DNA_BAV20894.1	57.4	51.57	46.94
Mycoplasma_pneumoniae_DNA_BAV20213.1	60.56	61.05	42.25
Mycoplasma_pneumoniae_DNA_BAV20361.1	60.13	51.29	51.64
Mycoplasma_pneumoniae_DNA_BAV20235.1	63.28	55.53	48.85
Mycoplasma_pneumoniae_DNA_BAV20566.1	56.24	52.21	45.0
Mycoplasma_pneumoniae_DNA_BAV20651.1	57.03	40.91	54.42
Mycoplasma_pneumoniae_DNA_BAV20685.1	65.47	48.05	55.2
Mycoplasma_pneumoniae_DNA_BAV20590.1	56.02	48.5	48.84
Mycoplasma_pneumoniae_DNA_BAV20659.1	56.88	53.3	44.04
Mycoplasma_pneumoniae_DNA_BAV20663.1	53.41	49.15	43.75
Mycoplasma_pneumoniae_DNA_BAV20237.1	57.47	49.22	49.15
Mycoplasma_pneumoniae_DNA_BAV20687.1	56.68	50.44	45.73
Mycoplasma_pneumoniae_DNA_BAV20592.1	61.01	58.33	45.26
Mycoplasma_pneumoniae_DNA_BAV20209.1	58.42	52.62	47.11
Mycoplasma_pneumoniae_DNA_BAV20665.1	57.26	45.49	53.4
Mycoplasma_pneumoniae_DNA_BAV20238.1	62.34	53.13	50.93
Mycoplasma_pneumoniae_DNA_BAV20443.1	58.06	48.48	48.08
Mycoplasma_pneumoniae_DNA_BAV20233.1	54.35	46.49	46.81
Mycoplasma_pneumoniae_DNA_BAV20750.1	58.23	55.03	47.02
Mycoplasma_pneumoniae_DNA_BAV20624.1	59.79	51.51	49.63
Mycoplasma_pneumoniae_DNA_BAV20332.1	56.67	51.49	44.88
Mycoplasma_pneumoniae_DNA_BAV20756.1	59.35	51.75	48.13
Mycoplasma_pneumoniae_DNA_BAV20363.1	54.04	47.01	46.42
Mycoplasma_pneumoniae_DNA_BAV20683.1	57.4	49.74	48.59
Mycoplasma_pneumoniae_DNA_BAV20645.1	62.2	56.32	47.66
Mycoplasma_pneumoniae_DNA_BAV20653.1	59.85	56.05	45.33
Mycoplasma_pneumoniae_DNA_BAV20215.1	64.07	57.96	51.03
Mycoplasma_pneumoniae_DNA_BAV20729.1	57.11	50.16	46.89
Mycoplasma_pneumoniae_DNA_BAV20739.1	53.31	43.33	49.51
Mycoplasma_pneumoniae_DNA_BAV20447.1	63.37	57.25	47.29
Mycoplasma_pneumoniae_DNA_BAV20758.1	58.52	53.52	45.77
Mycoplasma_pneumoniae_DNA_BAV20568.1	58.07	53.31	46.35
Mycoplasma_pneumoniae_DNA_BAV20371.1	56.89	52.33	46.45
Mycoplasma_pneumoniae_DNA_BAV20643.1	63.05	55.88	49.0
Mycoplasma_pneumoniae_DNA_BAV20353.1	48.51	37.8	52.39
Mycoplasma_pneumoniae_DNA_BAV20445.1	57.81	50.8	48.38
Mycoplasma_pneumoniae_DNA_BAV20379.1	57.73	54.55	44.47
Mycoplasma_pneumoniae_DNA_BAV20734.1	59.21	55.21	44.7
Mycoplasma_pneumoniae_DNA_BAV20724.1	59.52	56.15	44.79
Mycoplasma_pneumoniae_DNA_BAV20223.1	56.18	55.56	42.25
Mycoplasma_pneumoniae_DNA_BAV20231.1	57.86	54.92	45.13
Mycoplasma_pneumoniae_DNA_BAV20351.1	55.38	40.71	52.32
Mycoplasma_pneumoniae_DNA_BAV20752.1	54.33	49.56	45.31
Mycoplasma_pneumoniae_DNA_BAV20754.1	50.79	46.71	43.94
Mycoplasma_pneumoniae_DNA_BAV20205.1	60.36	53.98	47.59
Mycoplasma_pneumoniae_DNA_BAV20635.1	65.14	57.62	49.54
Mycoplasma_pneumoniae_DNA_BAV20616.1	62.19	58.22	45.98
Mycoplasma_pneumoniae_DNA_BAV20774.1	65.94	59.29	49.96
Mycoplasma_pneumoniae_DNA_BAV20647.1	53.94	45.68	47.78
Mycoplasma_pneumoniae_DNA_BAV20225.1	58.09	52.63	46.47
Mycoplasma_pneumoniae_DNA_BAV20578.1	59.38	52.8	50.3
Mycoplasma_pneumoniae_DNA_BAV20207.1	52.11	45.91	45.35
Mycoplasma_pneumoniae_DNA_BAV20881.1	55.43	49.48	44.68
Mycoplasma_pneumoniae_DNA_BAV20479.1	58.79	53.29	46.86
Mycoplasma_pneumoniae_DNA_BAV20693.1	55.08	48.23	46.29
Mycoplasma_pneumoniae_DNA_BAV20355.1	65.54	62.19	46.92
Mycoplasma_pneumoniae_DNA_BAV20641.1	61.34	52.79	50.15
Mycoplasma_pneumoniae_DNA_BAV20330.1	59.96	58.25	43.78
Mycoplasma_pneumoniae_DNA_BAV20312.1	64.9	58.31	48.8
Mycoplasma_pneumoniae_DNA_BAV20221.1	57.33	52.82	44.85
Mycoplasma_pneumoniae_DNA_BAV20772.1	59.53	50.89	49.82
Mycoplasma_pneumoniae_DNA_BAV20681.1	60.65	51.26	50.97
Mycoplasma_pneumoniae_DNA_BAV20708.1	61.55	47.66	56.97
Mycoplasma_pneumoniae_DNA_BAV20748.1	62.93	55.64	50.26
Mycoplasma_pneumoniae_DNA_BAV20475.1	57.76	49.48	48.87
Mycoplasma_pneumoniae_DNA_BAV20689.1	48.16	44.05	41.99
Mycoplasma_pneumoniae_DNA_BAV20310.1	60.56	57.45	44.71
Mycoplasma_pneumoniae_DNA_BAV20227.1	62.12	53.03	50.26
Mycoplasma_pneumoniae_DNA_BAV20815.1	53.86	48.36	46.82
Mycoplasma_pneumoniae_DNA_BAV20586.1	57.93	51.22	47.99
Mycoplasma_pneumoniae_DNA_BAV20314.1	59.38	48.17	51.49
Mycoplasma_pneumoniae_DNA_BAV20349.1	59.02	56.01	44.17
Mycoplasma_pneumoniae_DNA_BAV20334.1	58.99	54.04	47.01
Mycoplasma_pneumoniae_DNA_BAV20469.1	70.64	61.08	52.88
Mycoplasma_pneumoniae_DNA_BAV20770.1	57.47	54.44	43.67
Mycoplasma_pneumoniae_DNA_BAV20336.1	63.51	55.56	51.36
Mycoplasma_pneumoniae_DNA_BAV20228.1	56.95	53.78	45.09
Mycoplasma_pneumoniae_DNA_BAV20582.1	59.98	55.72	45.62
Mycoplasma_pneumoniae_DNA_BAV20344.1	57.51	55.09	44.2
Mycoplasma_pneumoniae_DNA_BAV20789.1	56.86	54.78	44.26
Mycoplasma_pneumoniae_DNA_BAV20629.1	57.98	55.47	43.6
Mycoplasma_pneumoniae_DNA_BAV20357.1	56.91	52.54	44.68
Mycoplasma_pneumoniae_DNA_BAV20419.1	57.72	52.55	44.81
Mycoplasma_pneumoniae_DNA_BAV20706.1	53.0	50.99	41.85
Mycoplasma_pneumoniae_DNA_BAV20839.1	59.69	54.38	46.59
Mycoplasma_pneumoniae_DNA_BAV20811.1	55.46	44.9	48.95
Mycoplasma_pneumoniae_DNA_BAV20580.1	56.5	49.19	48.18
Mycoplasma_pneumoniae_DNA_BAV20467.1	56.99	54.72	42.69
Mycoplasma_pneumoniae_DNA_BAV20790.1	57.77	52.55	46.8
Mycoplasma_pneumoniae_DNA_BAV20316.1	52.48	50.05	41.82
Mycoplasma_pneumoniae_DNA_BAV20813.1	62.79	51.14	51.61
Mycoplasma_pneumoniae_DNA_BAV20746.1	64.21	60.86	47.25
Mycoplasma_pneumoniae_DNA_BAV20340.1	55.83	51.47	45.65
Mycoplasma_pneumoniae_DNA_BAV20359.1	63.51	56.96	51.08
Mycoplasma_pneumoniae_DNA_BAV20831.1	56.32	54.72	42.81
Mycoplasma_pneumoniae_DNA_BAV20451.1	58.93	48.8	51.05
Mycoplasma_pneumoniae_DNA_BAV20702.1	52.36	54.35	39.01
Mycoplasma_pneumoniae_DNA_BAV20328.1	47.93	46.73	42.69
Mycoplasma_pneumoniae_DNA_BAV20342.1	56.23	49.0	47.2
Mycoplasma_pneumoniae_DNA_BAV20787.1	66.22	57.6	53.81
Mycoplasma_pneumoniae_DNA_BAV20320.1	52.32	53.46	41.32
Mycoplasma_pneumoniae_DNA_BAV20453.1	64.89	60.06	47.71
Mycoplasma_pneumoniae_DNA_BAV20740.1	64.31	51.52	56.18
Mycoplasma_pneumoniae_DNA_BAV20704.1	60.64	58.97	44.74
Mycoplasma_pneumoniae_DNA_BAV20457.1	68.1	58.6	52.26
Mycoplasma_pneumoniae_DNA_BAV20612.1	58.52	54.2	48.89
Mycoplasma_pneumoniae_DNA_BAV20596.1	61.89	54.95	49.24
Mycoplasma_pneumoniae_DNA_BAV20744.1	54.46	53.98	42.04
Mycoplasma_pneumoniae_DNA_BAV20833.1	58.85	59.06	41.97
Mycoplasma_pneumoniae_DNA_BAV20873.1	55.62	51.12	45.93
Mycoplasma_pneumoniae_DNA_BAV20742.1	51.55	47.44	42.48
Mycoplasma_pneumoniae_DNA_BAV20821.1	59.3	54.17	46.11
Mycoplasma_pneumoniae_DNA_BAV20417.1	63.91	55.79	50.36
Mycoplasma_pneumoniae_DNA_BAV20829.1	55.95	50.3	46.61
Mycoplasma_pneumoniae_DNA_BAV20411.1	64.48	48.17	59.6
Mycoplasma_pneumoniae_DNA_BAV20409.1	56.46	49.32	46.58
Mycoplasma_pneumoniae_DNA_BAV20766.1	37.98	37.27	40.25
Mycoplasma_pneumoniae_DNA_BAV20455.1	68.25	51.67	61.69
Mycoplasma_pneumoniae_DNA_BAV20318.1	61.84	55.66	49.2
Mycoplasma_pneumoniae_DNA_BAV20589.1	52.71	46.4	45.17
Mycoplasma_pneumoniae_DNA_BAV20785.1	57.05	45.32	56.18
Mycoplasma_pneumoniae_DNA_BAV20794.1	58.79	55.98	43.65
Mycoplasma_pneumoniae_DNA_BAV20322.1	57.61	53.54	45.19
Mycoplasma_pneumoniae_DNA_BAV20449.1	61.45	57.01	48.01
Mycoplasma_pneumoniae_DNA_BAV20877.1	69.77	58.02	54.14
Mycoplasma_pneumoniae_DNA_BAV20768.1	60.52	55.41	47.57
Mycoplasma_pneumoniae_DNA_BAV20304.1	50.79	42.79	45.68
Mycoplasma_pneumoniae_DNA_BAV20639.1	43.7	36.93	46.62
Mycoplasma_pneumoniae_DNA_BAV20875.1	63.51	51.34	56.5
Mycoplasma_pneumoniae_DNA_BAV20415.1	62.65	53.43	50.95
Mycoplasma_pneumoniae_DNA_BAV20401.1	60.07	55.69	46.38
Mycoplasma_pneumoniae_DNA_BAV20798.1	57.2	53.04	45.6
Mycoplasma_pneumoniae_DNA_BAV20326.1	60.62	56.07	47.8
Mycoplasma_pneumoniae_DNA_BAV20779.1	60.09	58.46	44.22
Mycoplasma_pneumoniae_DNA_BAV20861.1	56.28	52.53	43.84
Mycoplasma_pneumoniae_DNA_BAV20437.1	59.92	53.47	47.34
Mycoplasma_pneumoniae_DNA_BAV20764.1	55.19	43.61	53.25
Mycoplasma_pneumoniae_DNA_BAV20302.1	56.52	39.78	56.51
Mycoplasma_pneumoniae_DNA_BAV20781.1	53.92	53.34	41.97
Mycoplasma_pneumoniae_DNA_BAV20324.1	62.2	58.78	46.66
Mycoplasma_pneumoniae_DNA_BAV20472.1	57.97	54.65	44.92
Mycoplasma_pneumoniae_DNA_BAV20435.1	65.6	57.38	50.52
Mycoplasma_pneumoniae_DNA_BAV20407.1	63.88	51.06	55.83
Mycoplasma_pneumoniae_DNA_BAV20796.1	57.37	57.99	41.42
Mycoplasma_pneumoniae_DNA_BAV20783.1	61.36	56.03	47.15
Mycoplasma_pneumoniae_DNA_BAV20762.1	57.57	53.35	45.74
Mycoplasma_pneumoniae_DNA_BAV20865.1	54.88	52.27	44.04
Mycoplasma_pneumoniae_DNA_BAV20306.1	57.49	49.15	51.46
Mycoplasma_pneumoniae_DNA_BAV20431.1	55.86	45.65	50.58
Mycoplasma_pneumoniae_DNA_BAV20904.1	53.37	54.88	39.88
Mycoplasma_pneumoniae_DNA_BAV20867.1	60.67	55.45	48.05
Mycoplasma_pneumoniae_DNA_BAV20439.1	59.89	51.97	50.5
Mycoplasma_pneumoniae_DNA_BAV20403.1	59.1	53.05	46.19
Mycoplasma_pneumoniae_DNA_BAV20300.1	57.57	51.97	46.12
Mycoplasma_pneumoniae_DNA_BAV20903.1	56.08	51.0	47.17
Mycoplasma_pneumoniae_DNA_BAV20604.1	52.56	47.15	45.19
Mycoplasma_pneumoniae_DNA_BAV20405.1	62.65	51.26	53.7
Mycoplasma_pneumoniae_DNA_BAV20819.1	67.27	59.85	49.84
Mycoplasma_pneumoniae_DNA_BAV20807.1	59.06	51.64	47.65
Mycoplasma_pneumoniae_DNA_BAV20425.1	60.49	58.04	44.78
Mycoplasma_pneumoniae_DNA_BAV20433.1	63.61	55.88	48.82
Mycoplasma_pneumoniae_DNA_BAV20809.1	65.92	62.63	46.37
Mycoplasma_pneumoniae_DNA_BAV20308.1	47.11	41.44	45.2
Mycoplasma_pneumoniae_DNA_BAV20760.1	57.38	50.69	48.51
Mycoplasma_pneumoniae_DNA_BAV20448.1	63.71	54.1	50.96
Mycoplasma_pneumoniae_DNA_BAV20514.1	56.46	49.15	50.66
Mycoplasma_pneumoniae_DNA_BAV20423.1	62.65	56.37	48.11
Mycoplasma_pneumoniae_DNA_BAV20600.1	61.3	50.3	54.67
Mycoplasma_pneumoniae_DNA_BAV20817.1	56.07	53.93	43.74
Mycoplasma_pneumoniae_DNA_BAV20648.1	58.64	49.6	51.49
